M sat unsat unknown
0 100 0 0
10 100 0 0
20 100 0 0
30 100 0 0
40 100 0 0
50 100 0 0
60 100 0 0
70 100 0 0
80 100 0 0
90 100 0 0
100 100 0 0
110 100 0 0
120 100 0 0
130 100 0 0
140 100 0 0
150 100 0 0
160 100 0 0
170 100 0 0
180 100 0 0
190 100 0 0
200 100 0 0
210 100 0 0
220 100 0 0
230 100 0 0
240 100 0 0
250 100 0 0
260 100 0 0
270 100 0 0
280 100 0 0
290 100 0 0
300 100 0 0
310 100 0 0
320 100 0 0
330 100 0 0
340 100 0 0
350 100 0 0
360 100 0 0
370 97 0 3
380 99 0 1
390 91 0 9
400 78 0 22
410 67 0 33
420 58 0 42
430 37 0 63
440 29 0 71
450 13 0 87
460 7 0 93
470 2 0 98
480 2 0 98
490 1 0 99
500 0 0 100
